Freq,Power,Theor.AR(1),chi2 80%,chi2 90%,chi2 95%,chi2 99%,chi2 crit.
0.018284,1.7552,3.0349,4.6635,6.2265,7.7388,11.14,16.469
0.018434,1.5635,3.0071,4.6208,6.1694,7.6679,11.038,16.318
0.018583,1.2149,2.9796,4.5785,6.113,7.5977,10.937,16.169
0.018733,0.96751,2.9524,4.5367,6.0571,7.5283,10.837,16.021
0.018883,0.64116,2.9254,4.4953,6.0018,7.4595,10.738,15.875
0.019033,0.78394,2.8988,4.4543,5.9471,7.3916,10.64,15.73
0.019183,0.63328,2.8724,4.4138,5.893,7.3243,10.543,15.587
0.019333,0.87364,2.8463,4.3737,5.8395,7.2578,10.447,15.445
0.019483,0.60403,2.8205,4.334,5.7865,7.1919,10.352,15.305
0.019632,0.66986,2.7949,4.2947,5.7341,7.1268,10.259,15.166
0.019782,0.38134,2.7697,4.2559,5.6822,7.0624,10.166,15.029
0.019932,0.37325,2.7447,4.2175,5.631,6.9986,10.074,14.894
0.020082,0.34462,2.7199,4.1795,5.5802,6.9356,9.9834,14.76
0.020232,0.43009,2.6955,4.1419,5.53,6.8732,9.8937,14.627
0.020382,0.54964,2.6713,4.1047,5.4804,6.8115,9.8048,14.496
0.020532,0.43493,2.6474,4.0679,5.4313,6.7505,9.717,14.366
0.020682,0.21226,2.6237,4.0316,5.3827,6.6901,9.6301,14.237
0.020831,0.03253,2.6003,3.9956,5.3347,6.6304,9.5442,14.11
0.020981,0.25814,2.5771,3.96,5.2872,6.5713,9.4592,13.984
0.021131,0.85899,2.5542,3.9248,5.2402,6.5129,9.3751,13.86
0.021281,1.7225,2.5315,3.89,5.1937,6.4552,9.2919,13.737
0.021431,1.9643,2.5091,3.8556,5.1477,6.398,9.2097,13.616
0.021581,1.9503,2.487,3.8215,5.1023,6.3415,9.1283,13.495
0.021731,1.1372,2.4651,3.7878,5.0573,6.2856,9.0479,13.376
0.02188,0.78839,2.4434,3.7545,5.0128,6.2303,8.9683,13.259
0.02203,0.63039,2.4219,3.7216,4.9688,6.1757,8.8896,13.142
0.02218,1.0047,2.4007,3.689,4.9253,6.1216,8.8118,13.027
0.02233,1.4802,2.3798,3.6568,4.8823,6.0681,8.7348,12.914
0.02248,1.5503,2.359,3.6249,4.8398,6.0153,8.6587,12.801
0.02263,1.4302,2.3385,3.5934,4.7977,5.963,8.5834,12.69
0.02278,0.93821,2.3182,3.5622,4.7561,5.9112,8.509,12.58
0.022929,0.64418,2.2982,3.5314,4.7149,5.8601,8.4353,12.471
0.023079,0.42689,2.2783,3.5009,4.6742,5.8095,8.3625,12.363
0.023229,0.46677,2.2587,3.4708,4.634,5.7595,8.2905,12.257
0.023379,0.54281,2.2393,3.4409,4.5942,5.71,8.2193,12.151
0.023529,0.68871,2.2201,3.4115,4.5548,5.6611,8.1489,12.047
0.023679,0.82831,2.2012,3.3823,4.5159,5.6127,8.0792,11.944
0.023829,0.94445,2.1824,3.3535,4.4774,5.5648,8.0103,11.843
0.023979,1.0075,2.1638,3.3249,4.4393,5.5175,7.9422,11.742
0.024128,0.99197,2.1455,3.2967,4.4016,5.4707,7.8748,11.642
0.024278,1.0496,2.1273,3.2689,4.3644,5.4244,7.8082,11.544
0.024428,1.4617,2.1094,3.2413,4.3276,5.3786,7.7423,11.446
0.024578,2.1053,2.0916,3.214,4.2911,5.3334,7.6772,11.35
0.024728,2.8254,2.0741,3.187,4.2551,5.2886,7.6127,11.255
0.024878,2.8391,2.0567,3.1603,4.2195,5.2443,7.549,11.16
0.025028,2.1951,2.0395,3.1339,4.1843,5.2005,7.486,11.067
0.025177,1.154,2.0225,3.1078,4.1494,5.1572,7.4236,10.975
0.025327,0.81625,2.0057,3.082,4.1149,5.1144,7.362,10.884
0.025477,1.8143,1.9891,3.0565,4.0809,5.072,7.301,10.794
0.025627,3.5624,1.9727,3.0313,4.0472,5.0301,7.2407,10.705
