:			-	-	-	-	-	-	
			A	B	C	D	E	F	
Black	Dot	218	0.04995	0.42376	5.93449	4.55		0.432531479354301	
Black	Dot	219	0.04992	0.4219	5.65758	4.5		0.383345286686998	
Black	Dot	220	0.04989	0.41966	5.37862	4.44		0.324159094019696	
Black	Dot	221	0.04986	0.41707	5.0985	4.21		0.0949729013523934	
Black	Dot	222	0.04972	0.41419	4.81781	4		-0.114213291314909	
Black	Dot	223	0.04962	0.41108	4.53431	3.81		-0.303399483982211	
Black	Dot	224	0.04949	0.40781	4.25118	3.94		-0.172585676649514	
Black	Dot	225	0.04927	0.40447	3.96382	4.01		-0.101771869316817	
Black	Dot	226	0.04907	0.40114	3.67682	4.15		0.0390419380158816	
Black	Dot	227	0.04882	0.39792	3.38791	4.28		0.169855745348579	
Black	Dot	228	0.04853	0.39489	3.0956	4.28		0.170669552681277	
Black	Dot	229	0.04821	0.39215	2.80397	4.27		0.161483360013974	
Black	Dot	230	0.0478	0.38978	2.51027	4.38		0.272297167346671	
Black	Dot	231	0.04748	0.38785	2.21445	4.61		0.503110974679369	
Black	Dot	232	0.04695	0.38644	1.91919	4.77		0.663924782012066	
Black	Dot	233	0.04648	0.38558	1.62247	4.9		0.794738589344765	
Black	Dot	234	0.046	0.3853	1.32608	4.79		0.685552396677462	
Black	Dot	235	0.04539	0.38562	1.02912	4.46		0.356366204010159	
Black	Dot	236	0.04479	0.3865	0.73268	4.33		0.227180011342857	
Black	Dot	237	0.04418	0.38794	0.43885	4.28		0.177993818675555	
Black	Dot	238	0.04348	0.38988	0.14307	4.38		0.278807626008252	
Black	Dot	239	0.04281	0.39225	6.13467	4.37		0.26962143334095	
Black	Dot	240	0.04205	0.39499	5.84433	4.37		0.270435240673647	
Black	Dot	241	0.04131	0.398	5.55524	4.57		0.471249048006345	
Black	Dot	242	0.04053	0.4012	5.26884	4.73		0.632062855339043	
Black	Dot	243	0.03965	0.40449	4.98524	4.72		0.62287666267174	
Black	Dot	244	0.03889	0.40779	4.70362	4.66		0.563690470004438	
Black	Dot	245	0.03798	0.411	4.42388	4.64		0.544504277337135	
Black	Dot	246	0.03709	0.41405	4.14757	4.48		0.385318084669833	
Black	Dot	247	0.03623	0.41685	3.87335	4.4		0.306131892002531	
Black	Dot	248	0.03528	0.41936	3.60142	4.52		0.426945699335227	
Black	Dot	249	0.03436	0.42151	3.33104	4.42		0.327759506667925	
Black	Dot	250	0.03341	0.42327	3.06534	4.07		-0.0214266859993768	
Black	Dot	251	0.03247	0.42461	2.79939	3.86		-0.23061287866668	
Black	Dot	252	0.03152	0.4255	2.53606	3.72		-0.369799071333982	
Black	Dot	253	0.03056	0.42595	2.27656	3.73		-0.358985264001284	
Black	Dot	254	0.02961	0.42594	2.01701	3.89		-0.198171456668587	
Black	Dot	255	0.02872	0.42551	1.76022	4.29		0.202642350664111	
Black	Dot	256	0.02773	0.42466	1.50541	4.6		0.513456157996808	
Black	Dot	257	0.02689	0.42343	1.25282	4.69		0.604269965329506	
Black	Dot	258	0.02604	0.42185	1.00168	4.68		0.595083772662203	
Black	Dot	259	0.02519	0.41998	0.75215	4.67		0.585897579994901	
Black	Dot	260	0.02444	0.41785	0.50552	4.57		0.486711387327599	
Black	Dot	261	0.02373	0.41553	0.26196	4.21		0.127525194660296	
Black	Dot	262	0.02304	0.41308	0.01552	4.06		-0.0216609980070066	
Black	Dot	263	0.02247	0.41056	6.06118	3.97		-0.110847190674308	
Black	Dot	264	0.02195	0.40804	5.8205	4.09		0.00996661665838879	
Black	Dot	265	0.0215	0.40558	5.58132	4.08		0.000780423991086576	
Black	Dot	266	0.02113	0.40323	5.34655	4.15		0.0715942313237844	
Black	Dot	267	0.02085	0.40106	5.10989	4.07		-0.00759196134351807	
Black	Dot	268	0.0207	0.39911	4.87322	4.06		-0.0167781540108212	
Black	Dot	269	0.02056	0.3974	4.63934	4.11		0.0340356533218771	
Black	Dot	270	0.02056	0.39599	4.40119	4.04		-0.0351505393454256	
Black	Dot	271	0.02069	0.39487	4.1655	3.9		-0.174336732012728	
Black	Dot	272	0.0208	0.39406	3.92425	3.86		-0.213522924680031	
Black	Dot	273	0.02105	0.39358	3.68443	3.81		-0.262709117347333	
Black	Dot	274	0.0214	0.3934	3.44122	3.78		-0.291895310014636	
Black	Dot	275	0.02171	0.39353	3.19385	3.93		-0.141081502681938	
Black	Dot	276	0.02218	0.39395	2.94543	3.83		-0.24026769534924	
Black	Dot	277	0.02262	0.39465	2.69571	3.66		-0.409453888016543	
Black	Dot	278	0.02316	0.39559	2.43855	3.77		-0.298640080683845	
Black	Dot	279	0.02367	0.39676	2.18343	3.82		-0.247826273351148	
Black	Dot	280	0.02423	0.39812	1.92486	3.99		-0.0770124660184497	
