:			-	-	-	-	-	-	
			A	B	C	D	E	F	
Black	Dot	2323	0.03804	0.39628	6.08671			?	
Black	Dot	2324	0.03818	0.39465	5.79605			?	
Black	Dot	2325	0.03827	0.39323	5.50186			?	
Black	Dot	2326	0.03845	0.39206	5.20932			?	
Black	Dot	2327	0.03852	0.39117	4.91303			?	
Black	Dot	2328	0.03859	0.39058	4.61777			?	
Black	Dot	2329	0.03869	0.3903	4.32253			?	
Black	Dot	2330	0.03869	0.39036	4.02482			?	
Black	Dot	2331	0.03872	0.39075	3.72777			?	
Black	Dot	2332	0.03867	0.39149	3.43181			?	
Black	Dot	2333	0.03864	0.39256	3.13334			?	
Black	Dot	2334	0.03856	0.39394	2.83637			?	
Black	Dot	2335	0.03842	0.39561	2.5395			?	
Black	Dot	2336	0.03831	0.39755	2.24283			?	
Black	Dot	2337	0.03816	0.39971	1.94605			?	
Black	Dot	2338	0.03789	0.40205	1.6502			?	
Black	Dot	2339	0.03773	0.40453	1.35545			?	
Black	Dot	2340	0.03744	0.40709	1.06088			?	
Black	Dot	2341	0.03716	0.40968	0.76636			?	
Black	Dot	2342	0.03683	0.41223	0.4741			?	
Black	Dot	2343	0.0365	0.41469	0.18256			?	
Black	Dot	2344	0.03613	0.417	6.17227			?	
Black	Dot	2345	0.0357	0.4191	5.88403			?	
Black	Dot	2346	0.03528	0.42094	5.59287			?	
Black	Dot	2347	0.03482	0.42247	5.3035			?	
Black	Dot	2348	0.03428	0.42365	5.01508			?	
Black	Dot	2349	0.03375	0.42445	4.72571			?	
Black	Dot	2350	0.0332	0.42484	4.43823			?	
Black	Dot	2351	0.03255	0.4248	4.14821			?	
Black	Dot	2352	0.03195	0.42433	3.85961			?	
Black	Dot	2353	0.03127	0.42342	3.57122			?	
Black	Dot	2354	0.03059	0.4221	3.2792			?	
Black	Dot	2355	0.02988	0.42039	2.98918			?	
Black	Dot	2356	0.0291	0.41831	2.69819			?	
Black	Dot	2357	0.02842	0.41592	2.40372			?	
Black	Dot	2358	0.02757	0.41326	2.1107			?	
Black	Dot	2359	0.02679	0.41041	1.81476			?	
Black	Dot	2360	0.02601	0.40743	1.51879			?	
Black	Dot	2361	0.02514	0.40439	1.22006			?	
Black	Dot	2362	0.02429	0.4014	0.91977			?	
Black	Dot	2363	0.02347	0.39852	0.62212			?	
Black	Dot	2364	0.02257	0.39585	0.31628			?	
Black	Dot	2365	0.0217	0.39347	0.01586			?	
Black	Dot	2366	0.0208	0.39145	5.99576			?	
Black	Dot	2367	0.01991	0.38986	5.69103			?	
Black	Dot	2368	0.01901	0.38875	5.38704			?	
Black	Dot	2369	0.01803	0.38816	5.08362			?	
Black	Dot	2370	0.01716	0.38809	4.78024			?	
Black	Dot	2371	0.0162	0.38857	4.47794			?	
Black	Dot	2372	0.01524	0.38955	4.17444			?	
Black	Dot	2373	0.01433	0.39101	3.87839			?	
Black	Dot	2374	0.01339	0.3929	3.57792			?	
Black	Dot	2375	0.01244	0.39515	3.28208			?	
Black	Dot	2376	0.01155	0.39769	2.99343			?	
Black	Dot	2377	0.01062	0.40044	2.70276			?	
Black	Dot	2378	0.00978	0.40332	2.41711			?	
Black	Dot	2379	0.00884	0.40624	2.14166			?	
Black	Dot	2380	0.00804	0.4091	1.86749			?	
Black	Dot	2381	0.00721	0.41183	1.60159			?	
Black	Dot	2382	0.00638	0.41436	1.34937			?	
Black	Dot	2383	0.00564	0.41661	1.10359			?	
Black	Dot	2384	0.00493	0.41853	0.8871			?	
Black	Dot	2385	0.00422	0.42008	0.67296			?	
Black	Dot	2386	0.00364	0.42122	0.51553			?	
Black	Dot	2387	0.00312	0.42194	0.38997			?	
Black	Dot	2388	0.00272	0.42222	0.29882			?	
Black	Dot	2389	0.00252	0.42207	0.28557			?	
Black	Dot	2390	0.0025	0.42151	0.2744			?	
Black	Dot	2391	0.00264	0.42055	0.21093			?	
Black	Dot	2392	0.00296	0.41922	0.15103			?	
Black	Dot	2393	0.00334	0.41757	0.00114			?	
Black	Dot	2394	0.00373	0.41565	6.10141			?	
Black	Dot	2395	0.0042	0.41351	5.90632			?	
Black	Dot	2396	0.0046	0.41121	5.67197			?	
Black	Dot	2397	0.00508	0.40882	5.42489			?	
Black	Dot	2398	0.00544	0.40641	5.17299			?	
Black	Dot	2399	0.00585	0.40404	4.90648			?	
Black	Dot	2400	0.00625	0.40178	4.62917			?	
Black	Dot	2401	0.00654	0.39969	4.35382			?	
Black	Dot	2402	0.00689	0.39783	4.06355			?	
Black	Dot	2403	0.0072	0.39625	3.78218			?	
Black	Dot	2404	0.00746	0.39498	3.48084			?	
Black	Dot	2405	0.00772	0.39405	3.19137			?	
Black	Dot	2406	0.00797	0.39348	2.89715			?	
Black	Dot	2407	0.00818	0.39328	2.59181			?	
Black	Dot	2408	0.00838	0.39343	2.29844			?	
Black	Dot	2409	0.00853	0.39392	2.00022			?	
Black	Dot	2410	0.00874	0.39472	1.6958			?	
Black	Dot	2411	0.00881	0.39581	1.40064			?	
Black	Dot	2412	0.00895	0.39714	1.09867			?	
Black	Dot	2413	0.00908	0.39868	0.80116			?	
Black	Dot	2414	0.00913	0.40038	0.50116			?	
Black	Dot	2415	0.00919	0.40219	0.20167			?	
Black	Dot	2416	0.00928	0.40408	6.19449			?	
Black	Dot	2417	0.00927	0.40599	5.89087			?	
Black	Dot	2418	0.0093	0.40789	5.5981			?	
Black	Dot	2419	0.00926	0.40972	5.30532			?	
Black	Dot	2420	0.00926	0.41147	5.00708			?	
Black	Dot	2421	0.0092	0.41308	4.71054			?	
Black	Dot	2422	0.00909	0.41453	4.41784			?	
Black	Dot	2423	0.00908	0.4158	4.11686			?	
Black	Dot	2424	0.00895	0.41686	3.82111			?	
Black	Dot	2425	0.00885	0.4177	3.51874			?	
Black	Dot	2426	0.00879	0.41831	3.22271			?	
Black	Dot	2427	0.00867	0.41868	2.91787			?	
Black	Dot	2428	0.00856	0.41881	2.61346			?	
Black	Dot	2429	0.00848	0.41869	2.3148			?	
Black	Dot	2430	0.00835	0.41832	2.00517			?	
Black	Dot	2431	0.0083	0.41771	1.69925			?	
Black	Dot	2432	0.00814	0.41686	1.39115			?	
Black	Dot	2433	0.00807	0.41579	1.08196			?	
Black	Dot	2434	0.00801	0.4145	0.76916			?	
Black	Dot	2435	0.00783	0.41302	0.45327			?	
Black	Dot	2436	0.00781	0.41136	0.14033			?	
Black	Dot	2437	0.00771	0.40956	6.10484			?	
Black	Dot	2438	0.00761	0.40763	5.77863			?	
Black	Dot	2439	0.00754	0.40562	5.45849			?	
Black	Dot	2440	0.00746	0.40357	5.13296			?	
Black	Dot	2441	0.00742	0.40151	4.79245			?	
Black	Dot	2442	0.00731	0.39949	4.46584			?	
Black	Dot	2443	0.0073	0.39755	4.12084			?	
Black	Dot	2444	0.0073	0.39575	3.77955			?	
Black	Dot	2445	0.00726	0.39413	3.43134			?	
Black	Dot	2446	0.00729	0.39275	3.07981			?	
Black	Dot	2447	0.00738	0.39164	2.73324			?	
Black	Dot	2448	0.00743	0.39085	2.37118			?	
Black	Dot	2449	0.00757	0.3904	2.01968			?	
Black	Dot	2450	0.00768	0.39033	1.66658			?	
Black	Dot	2451	0.00791	0.39065	1.30798			?	
Black	Dot	2452	0.00809	0.39137	0.95533			?	
Black	Dot	2453	0.00831	0.39249	0.60555			?	
Black	Dot	2454	0.00863	0.39398	0.25517			?	
Black	Dot	2455	0.00888	0.39583	6.19365			?	
Black	Dot	2456	0.00918	0.398	5.84635			?	
Black	Dot	2457	0.00953	0.40043	5.512			?	
Black	Dot	2458	0.00986	0.40307	5.16853			?	
Black	Dot	2459	0.01022	0.40586	4.83394			?	
Black	Dot	2460	0.01059	0.40872	4.50337			?	
Black	Dot	2461	0.011	0.4116	4.17223			?	
Black	Dot	2462	0.01145	0.41441	3.84522			?	
Black	Dot	2463	0.01181	0.41708	3.5215			?	
Black	Dot	2464	0.01232	0.41955	3.20196			?	
Black	Dot	2465	0.01277	0.42176	2.88294			?	
Black	Dot	2466	0.01321	0.42363	2.56571			?	
Black	Dot	2467	0.01371	0.42514	2.25425			?	
Black	Dot	2468	0.0142	0.42622	1.94466			?	
Black	Dot	2469	0.01469	0.42684	1.62999			?	
Black	Dot	2470	0.01516	0.42699	1.32723			?	
Black	Dot	2471	0.01568	0.42665	1.01905			?	
Black	Dot	2472	0.01618	0.42582	0.71215			?	
Black	Dot	2473	0.01664	0.42452	0.40983			?	
Black	Dot	2474	0.01713	0.42276	0.10338			?	
Black	Dot	2475	0.01763	0.42057	6.0844			?	
Black	Dot	2476	0.01804	0.41802	5.77804			?	
Black	Dot	2477	0.01852	0.41515	5.47371			?	
Black	Dot	2478	0.01895	0.41203	5.16973			?	
Black	Dot	2479	0.01937	0.40874	4.86045			?	
Black	Dot	2480	0.0198	0.40535	4.55395			?	
Black	Dot	2481	0.02015	0.40197	4.24638			?	
Black	Dot	2482	0.02062	0.39867	3.93481			?	
Black	Dot	2483	0.02093	0.39554	3.62504			?	
Black	Dot	2484	0.0213	0.39269	3.31375			?	
Black	Dot	2485	0.02169	0.3902	3.00143			?	
Black	Dot	2486	0.02197	0.38812	2.68934			?	
Black	Dot	2487	0.02227	0.38654	2.37465			?	
Black	Dot	2488	0.02257	0.3855	2.06533			?	
Black	Dot	2489	0.02281	0.38502	1.74932			?	
Black	Dot	2490	0.02304	0.38512	1.43875			?	
Black	Dot	2491	0.02323	0.38578	1.12864			?	
Black	Dot	2492	0.02343	0.38699	0.81752			?	
Black	Dot	2493	0.02359	0.38869	0.50994			?	
Black	Dot	2494	0.02366	0.39083	0.20368			?	
Black	Dot	2495	0.02381	0.39334	6.18242			?	
Black	Dot	2496	0.02386	0.39614	5.88054			?	
Black	Dot	2497	0.02386	0.39913	5.57893			?	
Black	Dot	2498	0.0239	0.40225	5.28346			?	
Black	Dot	2499	0.0239	0.40539	4.98661			?	
Black	Dot	2500	0.02381	0.40848	4.69246			?	
Black	Dot	2501	0.02379	0.41145	4.40388			?	
Black	Dot	2502	0.02368	0.41421	4.1136			?	
Black	Dot	2503	0.02361	0.41672	3.82714			?	
Black	Dot	2504	0.02344	0.41891	3.54332			?	
Black	Dot	2505	0.02333	0.42076	3.26106			?	
Black	Dot	2506	0.02319	0.42221	2.97976			?	
Black	Dot	2507	0.02297	0.42326	2.70209			?	
Black	Dot	2508	0.02281	0.4239	2.42394			?	
Black	Dot	2509	0.02261	0.42412	2.15034			?	
Black	Dot	2510	0.02238	0.42392	1.87379			?	
Black	Dot	2511	0.02216	0.42334	1.6021			?	
Black	Dot	2512	0.02193	0.4224	1.33134			?	
Black	Dot	2513	0.02169	0.42112	1.05701			?	
Black	Dot	2514	0.02143	0.41955	0.78903			?	
Black	Dot	2515	0.02118	0.41773	0.51927			?	
Black	Dot	2516	0.02099	0.41571	0.24804			?	
Black	Dot	2517	0.0207	0.41353	6.26365			?	
Black	Dot	2518	0.02048	0.41126	5.99544			?	
Black	Dot	2519	0.02034	0.40894	5.72663			?	
Black	Dot	2520	0.02007	0.40662	5.45956			?	
Black	Dot	2521	0.01993	0.40436	5.19142			?	
Black	Dot	2522	0.01976	0.4022	4.92674			?	
Black	Dot	2523	0.01962	0.4002	4.6582			?	
Black	Dot	2524	0.01949	0.39839	4.39202			?	
Black	Dot	2525	0.01939	0.39681	4.12908			?	
Black	Dot	2526	0.01931	0.39549	3.85932			?	
Black	Dot	2527	0.01927	0.39444	3.59689			?	
Black	Dot	2528	0.0192	0.39368	3.33114			?	
Black	Dot	2529	0.01926	0.39322	3.06621			?	
Black	Dot	2530	0.01925	0.39305	2.80134			?	
Black	Dot	2531	0.01927	0.39318	2.53769			?	
Black	Dot	2532	0.01941	0.39359	2.27372			?	
Black	Dot	2533	0.01946	0.39426	2.00987			?	
Black	Dot	2534	0.01958	0.39518	1.74519			?	
Black	Dot	2535	0.01975	0.39633	1.48446			?	
Black	Dot	2536	0.01987	0.39767	1.21866			?	
Black	Dot	2537	0.02007	0.39917	0.95589			?	
Black	Dot	2538	0.02024	0.4008	0.69371			?	
Black	Dot	2539	0.02045	0.40253	0.42968			?	
Black	Dot	2540	0.02069	0.40433	0.16494			?	
Black	Dot	2541	0.02085	0.40615	6.18647			?	
Black	Dot	2542	0.02117	0.40796	5.92149			?	
Black	Dot	2543	0.02139	0.40973	5.65797			?	
Black	Dot	2544	0.02162	0.41141	5.39366			?	
Black	Dot	2545	0.02192	0.41298	5.13063			?	
Black	Dot	2546	0.0222	0.41439	4.86659			?	
Black	Dot	2547	0.02242	0.41563	4.60085			?	
Black	Dot	2548	0.02275	0.41666	4.33961			?	
Black	Dot	2549	0.02301	0.41746	4.07406			?	
Black	Dot	2550	0.02329	0.41801	3.80932			?	
Black	Dot	2551	0.02358	0.41829	3.54665			?	
Black	Dot	2552	0.02385	0.4183	3.28197			?	
Black	Dot	2553	0.02415	0.41802	3.0164			?	
Black	Dot	2554	0.02439	0.41745	2.75317			?	
Black	Dot	2555	0.02468	0.41661	2.48716			?	
Black	Dot	2556	0.02497	0.4155	2.22233			?	
Black	Dot	2557	0.02519	0.41414	1.95599			?	
Black	Dot	2558	0.02546	0.41256	1.68898			?	
Black	Dot	2559	0.02574	0.41079	1.42355			?	
Black	Dot	2560	0.02595	0.40885	1.15244			?	
Black	Dot	2561	0.02622	0.40681	0.88543			?	
Black	Dot	2562	0.02647	0.40471	0.61535			?	
Black	Dot	2563	0.02671	0.4026	0.34229			?	
Black	Dot	2564	0.02697	0.40054	0.07127			?	
Black	Dot	2565	0.02719	0.39859	6.08111			?	
Black	Dot	2566	0.02752	0.39681	5.80466			?	
Black	Dot	2567	0.02771	0.39525	5.52996			?	
Black	Dot	2568	0.028	0.39398	5.25229			?	
Black	Dot	2569	0.02832	0.39304	4.9746			?	
Black	Dot	2570	0.02858	0.39246	4.69597			?	
Black	Dot	2571	0.02888	0.39229	4.41575			?	
Black	Dot	2572	0.02923	0.39252	4.13858			?	
Black	Dot	2573	0.02952	0.39316	3.85675			?	
Black	Dot	2574	0.02988	0.39421	3.57817			?	
Black	Dot	2575	0.03019	0.39563	3.30025			?	
Black	Dot	2576	0.03058	0.39738	3.01996			?	
Black	Dot	2577	0.03091	0.39942	2.74266			?	
Black	Dot	2578	0.03125	0.4017	2.46643			?	
Black	Dot	2579	0.03167	0.40413	2.18849			?	
Black	Dot	2580	0.032	0.40666	1.91422			?	
Black	Dot	2581	0.03235	0.40921	1.63849			?	
Black	Dot	2582	0.03275	0.41172	1.36588			?	
Black	Dot	2583	0.03308	0.41411	1.09177			?	
Black	Dot	2584	0.03343	0.41631	0.81945			?	
Black	Dot	2585	0.0338	0.41826	0.54816			?	
Black	Dot	2586	0.03411	0.41991	0.27623			?	
Black	Dot	2587	0.03448	0.4212	0.00402			?	
Black	Dot	2588	0.03475	0.42211	6.01716			?	
Black	Dot	2589	0.03511	0.4226	5.74496			?	
Black	Dot	2590	0.03541	0.42266	5.47264			?	
Black	Dot	2591	0.03567	0.42228	5.20106			?	
Black	Dot	2592	0.03599	0.42147	4.92764			?	
Black	Dot	2593	0.03627	0.42024	4.65411			?	
Black	Dot	2594	0.03648	0.41863	4.37853			?	
Black	Dot	2595	0.03676	0.41666	4.10396			?	
Black	Dot	2596	0.03699	0.4144	3.82634			?	
Black	Dot	2597	0.03716	0.41189	3.54721			?	
Black	Dot	2598	0.03738	0.40921	3.26887			?	
Black	Dot	2599	0.03752	0.40642	2.98706			?	
Black	Dot	2600	0.03769	0.40359	2.70384			?	
Black	Dot	2601	0.03778	0.40082	2.42035			?	
Black	Dot	2602	0.03786	0.39817	2.1348			?	
Black	Dot	2603	0.03797	0.39572	1.8473			?	
Black	Dot	2604	0.03795	0.39355	1.55991			?	
Black	Dot	2605	0.03798	0.39171	1.27021			?	
Black	Dot	2606	0.03798	0.39026	0.98185			?	
Black	Dot	2607	0.03789	0.38924	0.68999			?	
Black	Dot	2608	0.03782	0.38868	0.40054			?	
Black	Dot	2609	0.03773	0.3886	0.11089			?	
Black	Dot	2610	0.03756	0.38898	6.10234			?	
Black	Dot	2611	0.03743	0.38982	5.81429			?	
Black	Dot	2612	0.03719	0.39108	5.52585			?	
Black	Dot	2613	0.03704	0.39273	5.23763			?	
Black	Dot	2614	0.03675	0.39471	4.95239			?	
Black	Dot	2615	0.03651	0.39695	4.66779			?	
Black	Dot	2616	0.03629	0.39941	4.38541			?	
Black	Dot	2617	0.03597	0.402	4.1048			?	
Black	Dot	2618	0.03567	0.40466	3.82543			?	
Black	Dot	2619	0.03541	0.40733	3.55077			?	
Black	Dot	2620	0.03507	0.40993	3.27444			?	
Black	Dot	2621	0.03477	0.41242	3.00231			?	
Black	Dot	2622	0.03442	0.41473	2.73297			?	
Black	Dot	2623	0.03414	0.41683	2.46315			?	
Black	Dot	2624	0.03379	0.41866	2.19591			?	
Black	Dot	2625	0.03345	0.42019	1.93224			?	
Black	Dot	2626	0.03319	0.42141	1.66646			?	
Black	Dot	2627	0.03285	0.42228	1.40504			?	
Black	Dot	2628	0.03255	0.42281	1.14279			?	
Black	Dot	2629	0.0323	0.42299	0.88285			?	
Black	Dot	2630	0.03203	0.42282	0.62278			?	
Black	Dot	2631	0.03176	0.42231	0.36288			?	
Black	Dot	2632	0.03159	0.42149	0.10539			?	
Black	Dot	2633	0.03136	0.42036	6.12928			?	
Black	Dot	2634	0.03121	0.41896	5.87039			?	
Black	Dot	2635	0.03105	0.41732	5.61265			?	
Black	Dot	2636	0.03094	0.41547	5.35359			?	
Black	Dot	2637	0.03087	0.41344	5.09309			?	
Black	Dot	2638	0.03075	0.41128	4.83415			?	
Black	Dot	2639	0.03077	0.40902	4.57256			?	
Black	Dot	2640	0.03077	0.40671	4.31045			?	
Black	Dot	2641	0.03075	0.4044	4.04731			?	
Black	Dot	2642	0.03083	0.40212	3.78306			?	
Black	Dot	2643	0.03093	0.39992	3.51791			?	
Black	Dot	2644	0.03098	0.39785	3.24929			?	
Black	Dot	2645	0.03115	0.39595	2.98266			?	
Black	Dot	2646	0.03128	0.39426	2.712			?	
Black	Dot	2647	0.03145	0.39281	2.44006			?	
Black	Dot	2648	0.03163	0.39165	2.16806			?	
Black	Dot	2649	0.0318	0.39079	1.89465			?	
Black	Dot	2650	0.03208	0.39026	1.61779			?	
Black	Dot	2651	0.03223	0.39007	1.34315			?	
Black	Dot	2652	0.03248	0.39023	1.06542			?	
Black	Dot	2653	0.03276	0.39073	0.78814			?	
Black	Dot	2654	0.03295	0.39158	0.50944			?	
Black	Dot	2655	0.0332	0.39274	0.23108			?	
Black	Dot	2656	0.03348	0.39421	6.23652			?	
Black	Dot	2657	0.03367	0.39593	5.95647			?	
Black	Dot	2658	0.03394	0.39788	5.67891			?	
Black	Dot	2659	0.03414	0.40002	5.40184			?	
Black	Dot	2660	0.03439	0.40229	5.12246			?	
Black	Dot	2661	0.03457	0.40465	4.84705			?	
Black	Dot	2662	0.03474	0.40705	4.57071			?	
Black	Dot	2663	0.03494	0.40944	4.2944			?	
Black	Dot	2664	0.03508	0.41176	4.02056			?	
Black	Dot	2665	0.03517	0.41396	3.74528			?	
Black	Dot	2666	0.03534	0.41599	3.47339			?	
Black	Dot	2667	0.03537	0.41782	3.1991			?	
Black	Dot	2668	0.03544	0.41939	2.92706			?	
Black	Dot	2669	0.0355	0.42068	2.6565			?	
Black	Dot	2670	0.03551	0.42165	2.38396			?	
Black	Dot	2671	0.03551	0.42227	2.11257			?	
Black	Dot	2672	0.03546	0.42254	1.84358			?	
Black	Dot	2673	0.03546	0.42244	1.57092			?	
Black	Dot	2674	0.03537	0.42197	1.30056			?	
Black	Dot	2675	0.03528	0.42113	1.02984			?	
Black	Dot	2676	0.03522	0.41995	0.75767			?	
Black	Dot	2677	0.03511	0.41844	0.48618			?	
Black	Dot	2678	0.03496	0.41665	0.21275			?	
Black	Dot	2679	0.03488	0.4146	6.22379			?	
Black	Dot	2680	0.03474	0.41235	5.94913			?	
Black	Dot	2681	0.03458	0.40996	5.67386			?	
Black	Dot	2682	0.03446	0.40747	5.39921			?	
Black	Dot	2683	0.03429	0.40496	5.12248			?	
Black	Dot	2684	0.03417	0.40248	4.84418			?	
Black	Dot	2685	0.03396	0.4001	4.56709			?	
Black	Dot	2686	0.03383	0.39789	4.288			?	
Black	Dot	2687	0.03367	0.3959	4.0072			?	
Black	Dot	2688	0.03346	0.39419	3.72812			?	
Black	Dot	2689	0.03332	0.39281	3.44618			?	
Black	Dot	2690	0.03316	0.3918	3.16604			?	
Black	Dot	2691	0.03293	0.39118	2.88324			?	
Black	Dot	2692	0.03278	0.39097	2.60296			?	
Black	Dot	2693	0.0326	0.39118	2.32198			?	
Black	Dot	2694	0.0324	0.39178	2.0401			?	
Black	Dot	2695	0.03223	0.39277	1.7607			?	
Black	Dot	2696	0.03202	0.3941	1.4818			?	
Black	Dot	2697	0.03188	0.39573	1.20111			?	
Black	Dot	2698	0.03165	0.39762	0.92463			?	
Black	Dot	2699	0.03147	0.3997	0.64682			?	
Black	Dot	2700	0.03136	0.4019	0.37081			?	
Black	Dot	2701	0.03114	0.40418	0.09525			?	
Black	Dot	2702	0.03098	0.40645	6.10467			?	
Black	Dot	2703	0.03089	0.40867	5.83241			?	
Black	Dot	2704	0.03066	0.41077	5.55916			?	
Black	Dot	2705	0.03057	0.4127	5.28869			?	
Black	Dot	2706	0.03039	0.41442	5.01939			?	
Black	Dot	2707	0.03025	0.41587	4.74813			?	
Black	Dot	2708	0.03008	0.41705	4.47984			?	
Black	Dot	2709	0.02991	0.41791	4.21163			?	
Black	Dot	2710	0.02977	0.41845	3.94128			?	
Black	Dot	2711	0.02958	0.41866	3.67421			?	
Black	Dot	2712	0.02937	0.41853	3.40405			?	
Black	Dot	2713	0.02923	0.41808	3.1362			?	
Black	Dot	2714	0.02899	0.41732	2.8657			?	
Black	Dot	2715	0.02875	0.41628	2.59536			?	
Black	Dot	2716	0.02856	0.41498	2.32614			?	
Black	Dot	2717	0.02828	0.41346	2.05302			?	
Black	Dot	2718	0.02803	0.41177	1.78064			?	
Black	Dot	2719	0.02774	0.40995	1.50901			?	
Black	Dot	2720	0.02748	0.40804	1.23362			?	
Black	Dot	2721	0.02717	0.40611	0.95827			?	
Black	Dot	2722	0.02682	0.4042	0.68445			?	
Black	Dot	2723	0.02655	0.40237	0.40631			?	
Black	Dot	2724	0.02619	0.40065	0.13044			?	
Black	Dot	2725	0.02582	0.39911	6.1359			?	
Black	Dot	2726	0.02549	0.39777	5.85893			?	
Black	Dot	2727	0.02514	0.39667	5.58173			?	
Black	Dot	2728	0.02472	0.39585	5.30318			?	
Black	Dot	2729	0.0244	0.39532	5.02861			?	
Black	Dot	2730	0.024	0.39509	4.75189			?	
Black	Dot	2731	0.02364	0.39517	4.476			?	
Black	Dot	2732	0.02324	0.39554	4.20403			?	
Black	Dot	2733	0.02288	0.39621	3.93194			?	
Black	Dot	2734	0.02253	0.39713	3.65911			?	
Black	Dot	2735	0.02212	0.3983	3.39323			?	
Black	Dot	2736	0.02178	0.39966	3.12423			?	
Black	Dot	2737	0.02146	0.4012	2.85996			?	
Black	Dot	2738	0.02107	0.40285	2.59611			?	
Black	Dot	2739	0.02079	0.40458	2.3348			?	
Black	Dot	2740	0.0205	0.40634	2.07608			?	
Black	Dot	2741	0.0202	0.4081	1.81668			?	
Black	Dot	2742	0.01998	0.4098	1.56076			?	
Black	Dot	2743	0.01974	0.41141	1.30892			?	
Black	Dot	2744	0.01958	0.41289	1.05136			?	
Black	Dot	2745	0.0194	0.41422	0.80283			?	
Black	Dot	2746	0.01927	0.41535	0.55111			?	
Black	Dot	2747	0.0192	0.41626	0.29938			?	
Black	Dot	2748	0.01911	0.41693	0.05008			?	
Black	Dot	2749	0.01905	0.41735	6.08332			?	
Black	Dot	2750	0.01913	0.4175	5.83248			?	
Black	Dot	2751	0.01907	0.41738	5.58062			?	
Black	Dot	2752	0.01916	0.41699	5.32915			?	
Black	Dot	2753	0.01927	0.41633	5.07665			?	
Black	Dot	2754	0.01934	0.41543	4.82072			?	
Black	Dot	2755	0.01949	0.41429	4.56409			?	
Black	Dot	2756	0.01962	0.41294	4.30837			?	
Black	Dot	2757	0.01979	0.41141	4.04495			?	
Black	Dot	2758	0.01996	0.40974	3.78384			?	
Black	Dot	2759	0.02012	0.40795	3.51931			?	
Black	Dot	2760	0.02034	0.40609	3.25043			?	
Black	Dot	2761	0.02052	0.40421	2.98116			?	
Black	Dot	2762	0.02066	0.40233	2.70798			?	
Black	Dot	2763	0.02093	0.40052	2.43379			?	
Black	Dot	2764	0.02106	0.39881	2.15502			?	
Black	Dot	2765	0.02123	0.39725	1.87529			?	
Black	Dot	2766	0.02143	0.39588	1.59421			?	
Black	Dot	2767	0.02156	0.39474	1.30962			?	
Black	Dot	2768	0.02171	0.39385	1.02208			?	
Black	Dot	2769	0.02181	0.39324	0.7378			?	
Black	Dot	2770	0.02195	0.39294	0.44605			?	
Black	Dot	2771	0.02202	0.39295	0.15665			?	
Black	Dot	2772	0.02207	0.39327	6.14962			?	
Black	Dot	2773	0.02211	0.3939	5.8569			?	
Black	Dot	2774	0.02216	0.39482	5.56551			?	
Black	Dot	2775	0.02207	0.39602	5.27179			?	
Black	Dot	2776	0.02207	0.39746	4.98081			?	
Black	Dot	2777	0.02199	0.39912	4.68779			?	
Black	Dot	2778	0.02185	0.40096	4.39406			?	
Black	Dot	2779	0.02173	0.40293	4.10437			?	
Black	Dot	2780	0.02157	0.40499	3.81219			?	
Black	Dot	2781	0.02135	0.40709	3.51882			?	
Black	Dot	2782	0.02112	0.40918	3.23133			?	
Black	Dot	2783	0.02085	0.41122	2.93875			?	
Black	Dot	2784	0.0206	0.41316	2.64936			?	
Black	Dot	2785	0.02023	0.41496	2.35979			?	
Black	Dot	2786	0.01991	0.41657	2.07078			?	
Black	Dot	2787	0.01958	0.41797	1.78168			?	
Black	Dot	2788	0.01914	0.41911	1.49313			?	
Black	Dot	2789	0.01879	0.41998	1.20378			?	
Black	Dot	2790	0.01834	0.42056	0.91854			?	
Black	Dot	2791	0.01792	0.42083	0.62683			?	
Black	Dot	2792	0.01744	0.42079	0.34084			?	
Black	Dot	2793	0.01695	0.42044	0.05433			?	
Black	Dot	2794	0.01649	0.41977	6.04623			?	
Black	Dot	2795	0.01595	0.41881	5.76007			?	
Black	Dot	2796	0.01539	0.41757	5.4702			?	
Black	Dot	2797	0.01491	0.41607	5.18119			?	
Black	Dot	2798	0.01429	0.41434	4.88925			?	
Black	Dot	2799	0.01373	0.41243	4.59879			?	
Black	Dot	2800	0.01318	0.41036	4.30833			?	
Black	Dot	2801	0.01255	0.40818	4.01194			?	
Black	Dot	2802	0.01198	0.40594	3.71804			?	
Black	Dot	2803	0.01134	0.40369	3.42556			?	
Black	Dot	2804	0.01076	0.40149	3.12548			?	
Black	Dot	2805	0.01014	0.39937	2.8257			?	
Black	Dot	2806	0.00948	0.3974	2.52997			?	
Black	Dot	2807	0.00892	0.39562	2.22363			?	
Black	Dot	2808	0.00829	0.39407	1.92328			?	
Black	Dot	2809	0.00767	0.39279	1.61367			?	
Black	Dot	2810	0.0071	0.39182	1.31257			?	
Black	Dot	2811	0.00651	0.39117	0.99979			?	
Black	Dot	2812	0.0059	0.39086	0.68577			?	
Black	Dot	2813	0.00537	0.3909	0.3842			?	
Black	Dot	2814	0.00479	0.3913	0.06118			?	
Black	Dot	2815	0.00427	0.39203	6.02638			?	
Black	Dot	2816	0.00369	0.39308	5.71249			?	
Black	Dot	2817	0.00319	0.39443	5.3782			?	
Black	Dot	2818	0.00268	0.39604	5.03783			?	
Black	Dot	2819	0.00214	0.39788	4.67621			?	
Black	Dot	2820	0.00169	0.39989	4.2698			?	
Black	Dot	2821	0.00126	0.40201	3.81678			?	
