Freq	Power	Theor.AR(1)	chi2 80%	chi2 90%	chi2 95%	chi2 99%	chi2 crit.
27.742	0.00060901	0.00038369	0.00058959	0.00078718	0.00097838	0.0014083	0.0020816
27.864	0.00033736	0.00038061	0.00058485	0.00078085	0.00097051	0.001397	0.0020649
27.986	0.00016763	0.00037756	0.00058016	0.0007746	0.00096274	0.0013858	0.0020483
28.108	0.00013586	0.00037455	0.00057554	0.00076842	0.00095506	0.0013748	0.002032
28.23	0.00045604	0.00037158	0.00057097	0.00076232	0.00094747	0.0013638	0.0020159
28.353	0.00082976	0.00036864	0.00056645	0.00075629	0.00093998	0.0013531	0.0019999
28.475	0.0012364	0.00036573	0.00056199	0.00075033	0.00093257	0.0013424	0.0019842
28.597	0.00085303	0.00036286	0.00055758	0.00074444	0.00092525	0.0013319	0.0019686
28.719	0.00029582	0.00036003	0.00055322	0.00073862	0.00091802	0.0013215	0.0019532
28.841	0.00013993	0.00035722	0.00054891	0.00073287	0.00091088	0.0013112	0.001938
28.964	0.0001197	0.00035445	0.00054465	0.00072719	0.00090381	0.001301	0.001923
29.086	0.00013561	0.00035172	0.00054045	0.00072158	0.00089683	0.001291	0.0019081
29.208	0.00026532	0.00034901	0.00053629	0.00071603	0.00088993	0.001281	0.0018935
29.33	0.00055482	0.00034634	0.00053218	0.00071054	0.00088312	0.0012712	0.0018789
29.453	0.00047865	0.00034369	0.00052812	0.00070512	0.00087638	0.0012615	0.0018646
29.575	0.00046591	0.00034108	0.0005241	0.00069976	0.00086971	0.0012519	0.0018504
29.697	0.00042781	0.0003385	0.00052014	0.00069446	0.00086313	0.0012424	0.0018364
29.819	0.00031101	0.00033594	0.00051621	0.00068922	0.00085662	0.0012331	0.0018226
29.941	0.00079805	0.00033342	0.00051233	0.00068404	0.00085018	0.0012238	0.0018089
30.064	0.0013593	0.00033092	0.0005085	0.00067892	0.00084382	0.0012146	0.0017953
30.186	0.001105	0.00032846	0.00050471	0.00067386	0.00083753	0.0012056	0.0017819
30.308	0.00054008	0.00032602	0.00050096	0.00066885	0.00083131	0.0011966	0.0017687
30.43	0.00073971	0.0003236	0.00049725	0.00066391	0.00082516	0.0011878	0.0017556
