#Age (Myr)	d18O(‰)
2.27	3.38
2.273	3.6
2.276	3.82
2.279	3.9
2.282	4.03
2.285	3.89
2.288	3.8
2.291	3.68
2.294	3.53
2.297	3.41
2.3	3.26
2.303	3.38
2.306	3.37
2.309	3.44
2.312	3.65
2.315	3.71
2.318	3.72
2.321	3.57
2.324	3.41
2.327	3.41
2.33	3.41
2.333	3.42
2.336	3.38
2.339	3.5
2.342	3.52
2.345	3.28
2.348	3.11
2.351	3.14
2.354	3.33
2.357	3.53
2.36	3.74
2.363	3.9
2.366	3.86
2.369	3.76
2.372	3.69
2.375	3.62
2.378	3.57
2.381	3.48
2.384	3.34
2.387	3.22
2.39	3.09
2.393	3.1
2.396	3.2
2.399	3.4
2.402	3.59
2.405	3.66
2.408	3.66
2.411	3.74
2.414	3.72
2.417	3.65
2.42	3.5
2.423	3.33
2.426	3.47
2.429	3.49
2.432	3.47
2.435	3.42
2.438	3.45
2.441	3.73
2.444	3.92
2.447	3.96
2.45	3.89
2.453	4.02
2.456	3.88
2.459	3.85
2.462	3.85
2.465	3.71
2.468	3.43
2.471	3.32
2.474	3.29
2.477	3.53
2.48	3.76
2.483	4.02
2.486	4.14
2.489	4.1
2.492	3.98
2.495	3.89
2.498	3.89
2.501	3.61
2.504	3.49
2.507	3.42
2.51	3.53
2.513	3.67
2.516	3.84
2.519	3.99
2.522	4.1
2.525	4.1
2.528	4.06
2.531	3.94
2.534	3.85
2.537	3.6
2.54	3.41
2.543	3.2
2.546	3.3
2.549	3.57
2.552	3.6
2.555	3.55
2.558	3.45
2.561	3.45
2.564	3.45
2.567	3.45
2.57	3.39
2.573	3.35
2.576	3.28
2.579	3.2
2.582	3.25
2.585	3.23
2.588	3.24
2.591	3.3
2.594	3.34
2.597	3.58
2.6	3.75
2.603	3.83
2.606	3.99
2.609	3.9
2.612	3.87
2.615	3.85
2.618	3.73
2.621	3.63
2.624	3.47
2.627	3.38
2.63	3.4
2.633	3.39
2.636	3.31
2.639	3.35
2.642	3.51
2.645	3.7
2.648	3.76
2.651	3.72
2.654	3.77
2.657	3.69
2.66	3.54
2.663	3.42
2.666	3.17
2.669	3.13
2.672	3.2
2.675	3.22
2.678	3.27
2.681	3.34
2.684	3.49
2.687	3.57
2.69	3.83
2.693	3.85
2.696	3.76
2.699	3.6
2.702	3.49
2.705	3.53
2.708	3.6
2.711	3.75
2.714	3.76
2.717	3.83
2.72	3.83
2.723	3.66
2.726	3.55
2.729	3.65
2.732	3.52
2.735	3.59
2.738	3.64
2.741	3.59
2.744	3.68
2.747	3.44
2.75	2.99
2.753	2.98
2.756	3.03
2.759	3.11
2.762	3.23
2.765	3.24
2.768	3.32
2.771	3.37
2.774	3.44
2.777	3.49
2.78	3.33
2.783	3.27
2.786	3.18
2.789	3.16
2.792	3.23
2.795	3.34
2.798	3.23
2.801	3.31
2.804	3.34
2.807	3.39
2.81	3.57
2.813	3.55
2.816	3.85
2.819	3.79
2.822	3.7
2.825	3.46
2.828	3.42
2.831	3.33
2.834	3.29
2.837	3.3
2.84	3.35
2.843	3.43
2.846	3.53
2.849	3.51
