Freq,Power,Theor.AR(1),chi2 80%,chi2 90%,chi2 95%,chi2 99%,chi2 crit.
69.782,0.00025358,7.2318E-05,0.00011112,0.00014837,0.0001844,0.00026544,0.00039234
69.904,0.00037225,7.2106E-05,0.0001108,0.00014793,0.00018386,0.00026466,0.00039119
70.026,0.00017622,7.1896E-05,0.00011048,0.0001475,0.00018333,0.00026389,0.00039005
70.148,7.7265E-05,7.1686E-05,0.00011015,0.00014707,0.00018279,0.00026312,0.00038891
70.27,0.00010522,7.1478E-05,0.00010983,0.00014664,0.00018226,0.00026236,0.00038778
70.393,0.00012448,7.127E-05,0.00010951,0.00014622,0.00018173,0.00026159,0.00038666
70.515,5.1827E-05,7.1064E-05,0.0001092,0.00014579,0.00018121,0.00026084,0.00038554
70.637,1.2296E-05,7.0859E-05,0.00010888,0.00014537,0.00018068,0.00026008,0.00038442
70.759,4.1976E-05,7.0655E-05,0.00010857,0.00014495,0.00018016,0.00025933,0.00038332
70.882,1.7903E-05,7.0452E-05,0.00010826,0.00014454,0.00017964,0.00025859,0.00038222
71.004,5.9414E-05,7.025E-05,0.00010795,0.00014412,0.00017913,0.00025785,0.00038112
71.126,0.0001584,7.0049E-05,0.00010764,0.00014371,0.00017862,0.00025711,0.00038003
71.248,0.00011369,6.9849E-05,0.00010733,0.0001433,0.00017811,0.00025638,0.00037894
71.37,4.9775E-05,6.965E-05,0.00010702,0.00014289,0.0001776,0.00025565,0.00037787
71.493,8.2755E-05,6.9452E-05,0.00010672,0.00014249,0.00017709,0.00025492,0.00037679
71.615,6.1895E-05,6.9255E-05,0.00010642,0.00014208,0.00017659,0.0002542,0.00037572
71.737,9.5366E-05,6.9059E-05,0.00010612,0.00014168,0.00017609,0.00025348,0.00037466
71.859,5.5843E-05,6.8865E-05,0.00010582,0.00014128,0.0001756,0.00025276,0.00037361
71.981,4.8358E-05,6.8671E-05,0.00010552,0.00014088,0.0001751,0.00025205,0.00037255
72.104,7.8715E-05,6.8478E-05,0.00010522,0.00014049,0.00017461,0.00025135,0.00037151
72.226,0.00010438,6.8286E-05,0.00010493,0.0001401,0.00017412,0.00025064,0.00037047
72.348,3.5806E-05,6.8095E-05,0.00010464,0.0001397,0.00017364,0.00024994,0.00036943
72.47,4.2901E-05,6.7906E-05,0.00010434,0.00013931,0.00017315,0.00024924,0.0003684
72.592,8.3588E-05,6.7717E-05,0.00010405,0.00013893,0.00017267,0.00024855,0.00036738
72.715,0.00017444,6.7529E-05,0.00010377,0.00013854,0.00017219,0.00024786,0.00036636
72.837,0.00021521,6.7342E-05,0.00010348,0.00013816,0.00017171,0.00024718,0.00036534
72.959,9.7135E-05,6.7156E-05,0.00010319,0.00013778,0.00017124,0.00024649,0.00036434
73.081,8.5723E-05,6.6971E-05,0.00010291,0.0001374,0.00017077,0.00024581,0.00036333
73.204,5.1365E-05,6.6787E-05,0.00010263,0.00013702,0.0001703,0.00024514,0.00036233
73.326,1.5743E-05,6.6604E-05,0.00010234,0.00013664,0.00016983,0.00024447,0.00036134
73.448,1.0355E-05,6.6421E-05,0.00010206,0.00013627,0.00016937,0.0002438,0.00036035
73.57,3.3513E-05,6.624E-05,0.00010179,0.0001359,0.0001689,0.00024313,0.00035937
73.692,2.9354E-05,6.606E-05,0.00010151,0.00013553,0.00016844,0.00024247,0.00035839
73.815,5.6782E-05,6.588E-05,0.00010123,0.00013516,0.00016799,0.00024181,0.00035741
73.937,4.3533E-05,6.5702E-05,0.00010096,0.00013479,0.00016753,0.00024116,0.00035645
74.059,6.1561E-05,6.5524E-05,0.00010068,0.00013443,0.00016708,0.0002405,0.00035548
74.181,9.0287E-05,6.5347E-05,0.00010041,0.00013407,0.00016663,0.00023985,0.00035452
74.303,5.4862E-05,6.5171E-05,0.00010014,0.0001337,0.00016618,0.00023921,0.00035357
74.426,6.248E-05,6.4996E-05,9.9874E-05,0.00013335,0.00016573,0.00023857,0.00035262
74.548,6.1372E-05,6.4822E-05,9.9606E-05,0.00013299,0.00016529,0.00023793,0.00035167
74.67,0.00011039,6.4649E-05,9.934E-05,0.00013263,0.00016485,0.00023729,0.00035073
74.792,0.00011739,6.4476E-05,9.9075E-05,0.00013228,0.00016441,0.00023666,0.0003498
74.914,3.3656E-05,6.4305E-05,9.8811E-05,0.00013193,0.00016397,0.00023603,0.00034887
75.037,1.3046E-05,6.4134E-05,9.8549E-05,0.00013158,0.00016353,0.0002354,0.00034794
75.159,7.3549E-05,6.3964E-05,9.8288E-05,0.00013123,0.0001631,0.00023478,0.00034702
75.281,0.00012724,6.3795E-05,9.8028E-05,0.00013088,0.00016267,0.00023416,0.0003461
75.403,9.2489E-05,6.3627E-05,9.777E-05,0.00013054,0.00016224,0.00023354,0.00034519
75.526,2.9977E-05,6.346E-05,9.7513E-05,0.00013019,0.00016182,0.00023293,0.00034428
